company_id,cluster_id,cluster_name,distance_from_centroid
BPCL,0,"High ROE, High Margins",0.2174665580031871
RELIANCE,0,"High ROE, High Margins",0.2176688670398318
IOC,0,"High ROE, High Margins",0.2181511731692465
ONGC,0,"High ROE, High Margins",0.2242952852960558
TORNTPHARM,0,"High ROE, High Margins",0.2299189679019207
ATGL,0,"High ROE, High Margins",0.2332281472490822
APOLLOHOSP,0,"High ROE, High Margins",0.2348532669585918
TRENT,0,"High ROE, High Margins",0.2417710189325569
JINDALSTEL,0,"High ROE, High Margins",0.2449000366447375
GAIL,0,"High ROE, High Margins",0.2531635655727427
TATASTEEL,0,"High ROE, High Margins",0.2596974371472843
GODREJCP,0,"High ROE, High Margins",0.2771160307659476
TCS,0,"High ROE, High Margins",0.2887972394227925
JSWSTEEL,0,"High ROE, High Margins",0.2890846038984863
NAUKRI,0,"High ROE, High Margins",0.3082868946780399
DMART,0,"High ROE, High Margins",0.3094268857238914
AMBUJACEM,0,"High ROE, High Margins",0.3126359256916632
MARUTI,0,"High ROE, High Margins",0.3153378449986739
TATAMOTORS,0,"High ROE, High Margins",0.3173953487321706
TECHM,0,"High ROE, High Margins",0.3228572890260638
INFY,0,"High ROE, High Margins",0.3252278473011486
SHREECEM,0,"High ROE, High Margins",0.330197734929905
ASIANPAINT,0,"High ROE, High Margins",0.3330775764427126
NTPC,0,"High ROE, High Margins",0.3678091397543087
JSWENERGY,0,"High ROE, High Margins",0.3793058673266725
NESTLEIND,0,"High ROE, High Margins",0.4012412373780619
M&M,0,"High ROE, High Margins",0.4223559126218354
LTIM,0,"High ROE, High Margins",0.4279720539745758
ITC,0,"High ROE, High Margins",0.4304578212965319
HCLTECH,0,"High ROE, High Margins",0.4413248999823884
PIDILITIND,0,"High ROE, High Margins",0.4700997417806534
BAJAJ-AUTO,0,"High ROE, High Margins",0.4784083466813097
MOTHERSON,0,"High ROE, High Margins",0.4921658133832992
HEROMOTOCO,0,"High ROE, High Margins",0.5067741587789454
EICHERMOT,0,"High ROE, High Margins",0.5088641001086237
BAJAJHLDNG,0,"High ROE, High Margins",0.5363839610267568
ADANIPOWER,0,"High ROE, High Margins",0.6370500092779505
DIVISLAB,0,"High ROE, High Margins",0.6464499992245546
TITAN,0,"High ROE, High Margins",0.6497786840806125
TATAPOWER,0,"High ROE, High Margins",0.6632195184009663
ICICIGI,0,"High ROE, High Margins",0.6909516684432565
HDFCLIFE,0,"High ROE, High Margins",0.709921877012389
BOSCHLTD,0,"High ROE, High Margins",0.7261931692542358
BHARTIARTL,0,"High ROE, High Margins",0.7288640981053841
SBILIFE,0,"High ROE, High Margins",0.7328147537396794
DABUR,0,"High ROE, High Margins",0.7881218770134081
IRCTC,0,"High ROE, High Margins",0.8097926569004176
ADANIENSOL,0,"High ROE, High Margins",0.8388109047814705
LODHA,0,"High ROE, High Margins",0.8489022173965876
ADANIPORTS,0,"High ROE, High Margins",0.8592188571269289
BHEL,0,"High ROE, High Margins",0.8606644897369946
DLF,0,"High ROE, High Margins",0.8648638552130752
LT,0,"High ROE, High Margins",0.8751550401395677
HAVELLS,0,"High ROE, High Margins",0.8759473360625178
ABB,0,"High ROE, High Margins",0.8784883495422819
GRASIM,0,"High ROE, High Margins",0.9127114247514816
ADANIENT,0,"High ROE, High Margins",0.9296678728715698
POWERGRID,0,"High ROE, High Margins",0.9525140797119084
NHPC,0,"High ROE, High Margins",1.0046575580583437
SUNPHARMA,0,"High ROE, High Margins",1.0436729659920732
TVSMOTOR,0,"High ROE, High Margins",1.149256534903757
DRREDDY,0,"High ROE, High Margins",1.2238050110107146
PNB,0,"High ROE, High Margins",1.2808197653757647
SIEMENS,0,"High ROE, High Margins",1.3597294087132767
BRITANNIA,0,"High ROE, High Margins",1.5124541821705917
HINDUNILVR,0,"High ROE, High Margins",1.5596684675199364
TATACONSUM,0,"High ROE, High Margins",1.6091332493369934
LICI,0,"High ROE, High Margins",1.9723103597040228
ICICIPRULI,0,"High ROE, High Margins",2.1001990599717604
BAJFINANCE,0,"High ROE, High Margins",2.5448975024951577
HINDALCO,0,"High ROE, High Margins",2.653949404776508
INDIGO,0,"High ROE, High Margins",2.9353559334359614
COALINDIA,0,"High ROE, High Margins",5.547779323632771
HAL,1,Emerging Growth (Defense PSUs),0.7359964252086447
BEL,1,Emerging Growth (Defense PSUs),0.7359964252086456
CIPLA,2,High-Margin Stagnants,0.0
RECLTD,3,"High Leverage, High Revenue Growth",0.5545314031921251
IRFC,3,"High Leverage, High Revenue Growth",0.6004688153802706
PFC,3,"High Leverage, High Revenue Growth",0.6286171118122171
ADANIGREEN,3,"High Leverage, High Revenue Growth",0.8158076740478329
INDUSINDBK,3,"High Leverage, High Revenue Growth",0.8200233723571763
BAJAJFINSV,3,"High Leverage, High Revenue Growth",0.9902520453836688
CHOLAFIN,3,"High Leverage, High Revenue Growth",1.0070135992191225
SBIN,3,"High Leverage, High Revenue Growth",1.1141703483951222
SHRIRAMFIN,3,"High Leverage, High Revenue Growth",1.244550224501553
ICICIBANK,3,"High Leverage, High Revenue Growth",1.2856387258159845
KOTAKBANK,3,"High Leverage, High Revenue Growth",1.6366352235749722
AXISBANK,3,"High Leverage, High Revenue Growth",1.913783070089899
BANKBARODA,3,"High Leverage, High Revenue Growth",1.9479797601197253
CANBK,3,"High Leverage, High Revenue Growth",2.705525439905176
HDFCBANK,3,"High Leverage, High Revenue Growth",4.919547857875286
JIOFIN,4,Emerging Growth (Recent Listing - Small Sample),0.0
